"","comuna","Severe","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"35",4302,0.0286659370993473,78,13,2,11,0.0119898058629456,0.0181038007644521,1.59326247655738,0.0217141209066842,0.000471503046750101,0.757488612056525,-0.00694522118761484,0.0642770953863094,6,0.118652495311475,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"36",4303,0.0290347571459328,137,19,2,17,0.00896327496337879,0.00871702156954932,0.636504694193442,0.0125030701474926,0.000156326763113121,0.430624237173758,0.00852972210404486,0.0495397921878207,7.21052631578947,-0.0585289051722425,-0.0555555555555556,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"37",4304,0.00492877612552071,67,6,2,4,0.00598257747028149,0.00388096303331711,0.95639441940412,0.00713113646299757,5.08531072538936e-05,1.44683716228726,-0.00676628767379531,0.0166238399248367,11.1666666666667,-0.00428907350123414,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"38",4305,0.0028584523335033,28,3,1,2,0.0117015612850407,0.00164685543570732,0.621753458891796,0.0118168806938922,0.000139638669333682,4.13401355530371,-0.0165212320044799,0.0222381366714865,9.33333333333333,-0.0453895849329845,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"39",5101,0.0466678663805794,926,182,2,180,0.00436366181483971,0.00557472028570913,1.09701132311774,0.00707948096248497,5.01190506981871e-05,0.151699263573598,0.035057517602104,0.0582782151590547,5.08791208791209,0.0237312645261131,-0.00552486187845314,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"40",5102,0.0143541393851358,74,12,2,10,0.00940245643518003,0.0143944994108595,1.55713059994538,0.0171932486838495,0.000295607800304693,1.19779028352294,-0.0138427884563775,0.042551067226649,6.16666666666667,0.107831729021687,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"41",5103,0.0189031135517614,143,29,1,28,0.00717986356647875,0.00852110996392529,1.01270018857794,0.0111426996661741,0.000124159755850556,0.589463721712437,0.000629086099235912,0.0371771410042869,4.93103448275862,0.00323074972596665,-0.0357142857142858,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"42",5105,0.0396004429324636,90,15,2,13,0.0165466206429143,0.0205081710274066,1.96088210385012,0.0263510101056843,0.000694375733589878,0.665422105268482,-0.00361521364085869,0.0828160995057859,6,0.192176420770025,-0.0714285714285714,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"43",5107,0.0331328484615254,146,29,2,27,0.0101038152452535,0.0118079003272638,1.20702312674663,0.0155407075980733,0.000241513592648813,0.469042304531091,0.00764608800068521,0.0586196089223656,5.03448275862069,0.0513134245782243,-0.0357142857142858,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"44",5109,0.0323809178824347,1388,262,1,261,0.00307332458396507,0.00512583029858936,2.04511336167879,0.00597657596357151,3.57194602483407e-05,0.184570924927781,0.0225793333021775,0.042182502462692,5.29770992366412,0.243179130337339,-0.00383141762452111,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"45",5301,0.037999568242094,216,41,2,39,0.00897116799453663,0.00947027867743484,1.07538757495913,0.0130448470061736,0.000170168033414475,0.343289348001674,0.0166060191519694,0.0593931173322187,5.26829268292683,0.017662231847568,-0.0249999999999999,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"46",5302,0.0232077941612389,64,12,2,10,0.0143234896938074,0.0115316756560228,0.883570074624104,0.0183886350892152,0.000338141900444316,0.792347388185968,-0.00694956738507402,0.0533651557075518,5.33333333333333,-0.0268684443175144,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"47",5303,0.0603384928672391,56,12,2,10,0.0270008710659059,0.0249650095249377,1.18924410104218,0.0367736147107938,0.00135229873889791,0.609455307273013,2.97647415373747e-05,0.120647220992941,4.66666666666667,0.0516120275569576,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"48",5304,0.0271997780519226,76,12,2,10,0.0105517162986194,0.0157147352638188,1.07425296824434,0.0189285926909124,0.000358291621258462,0.695909821572035,-0.00384311396117373,0.0582426700650189,6.33333333333333,0.0139224315458143,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"49",5401,0.0314432722612109,90,18,2,16,0.013894766753043,0.00964990590942106,0.588732794591242,0.0169170099953316,0.000286185227182148,0.538016840448274,0.00369937586886719,0.0591871686535547,5,-0.10281680135219,-0.0588235294117647,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"50",5402,0.0235702615835078,65,13,2,11,0.0137989414496003,0.0182951889600499,1.69935451745345,0.0229156000186211,0.000525124724213427,0.972225103969794,-0.0140113224470308,0.0611518456140464,5,0.174838629363363,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"51",5403,0.0193397813170642,33,3,1,2,0.0240344179643511,0.0171295542638391,1.55552943076972,0.029513977640483,0.000871074876162932,1.52607607897003,-0.029063142013328,0.0677427046474563,11,0.0555529430769716,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"52",5404,0.038959380520982,59,6,2,4,0.015652896636748,0.0170012266564968,0.752177822442538,0.0231096274514821,0.000534054880946295,0.593172353935047,0.00105959150055136,0.0768591695414127,9.83333333333333,-0.0280553408555618,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"53",5405,0.011956677423792,59,8,2,6,0.0103293338818895,0.00814442093380838,0.695696973954545,0.0131539625509048,0.000173026730790606,1.10013527041638,-0.00961582115969187,0.0335291760072759,7.375,-0.0477338080071303,-0.142857142857143,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"54",5501,0.0513276045737778,205,40,2,38,0.00998517693172251,0.0141267957901122,1.31964548195034,0.0172994253561595,0.000299270117653336,0.33703940598462,0.0229565469896761,0.0796986621578794,5.125,0.0774898138061433,-0.0256410256410255,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"55",5502,0.0550311768798339,138,24,2,22,0.0136127711832739,0.0249293687144535,2.86764659127506,0.0284038899411568,0.000806780963789346,0.516141786376466,0.00844879737633684,0.101613556383331,5.75,0.393188756057907,-0.0434782608695652,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"56",5503,0.00374940963264912,52,9,2,7,0.00530948850488617,0.00339224275631791,0.543597436706921,0.00630063323018486,3.96979791013097e-05,1.68043341418878,-0.00658362886485405,0.0140824481301523,5.77777777777778,-0.0955261178985514,-0.125,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"57",5504,5.63750464347343e-05,65,12,2,10,0.00105332449571651,4.3753496808419e-05,0.857296295652111,0.00105423283090568,1.1114068617594e-06,18.7003452338823,-0.00167256679625058,0.00178531688912005,5.41666666666667,-0.032310272682541,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"58",5506,0.00301045403256965,64,13,2,11,0.00387025373495012,0.00288706711154049,0.491977148884161,0.00482845943127144,2.33140204794341e-05,1.60389741182993,-0.0049082194347155,0.0109291274998548,4.92307692307692,-0.129496020872665,-0.0833333333333333,0,"Excluir","Excluir","Incluir","Excluir","Incluir"
"59",5601,0.0494702778992333,255,53,2,51,0.00872240865502335,0.0115597212640707,1.26034675297162,0.014481283384018,0.000209707568448236,0.292726946339681,0.0257209731494438,0.0732195826490228,4.81132075471698,0.0683088015222575,-0.0192307692307692,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"60",5602,0.0113046693667914,107,26,2,24,0.00819670734137673,0.00687224522607448,1.33864985482594,0.0106964370557435,0.000114413765687483,0.946196364412507,-0.0062374874046279,0.0288468261382108,4.11538461538461,0.10870242253672,-0.04,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"61",5603,0.0476963934064055,120,31,2,29,0.0124321440626228,0.0138382627846058,0.782433565397533,0.018602573017989,0.000346055722889614,0.390020538020193,0.0171881736569035,0.0782046131559075,3.87096774193548,-0.0757815671087246,-0.0333333333333334,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"62",5604,0.0651393313705362,110,34,1,33,0.0171822634283993,0.0323084889918164,2.92936379751669,0.0365932867812831,0.00133906863745723,0.561769456507424,0.00512634104923191,0.125152321691841,3.23529411764706,0.863136435731149,-0.0303030303030303,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"63",5605,0.0570596403701085,45,14,1,13,0.0240036754241345,0.0171895514268361,0.425543092853367,0.0295238397252634,0.000871657112123041,0.517420711623164,0.00864054322067656,0.10547873751954,3.21428571428571,-0.259432151614608,-0.0769230769230769,0,"Excluir","Excluir","Excluir","Excluir","Incluir"
"64",5606,0.00549612211157533,65,6,2,4,0.0070857014181703,0.00350000901317113,0.614636747505401,0.00790298852838215,6.24572276797398e-05,1.43792084090303,-0.00746477907497139,0.0184570232981221,10.8333333333333,-0.0391894833045355,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"65",5701,0.0413107433523756,257,48,2,46,0.00975676591736974,0.00733457250889221,0.784900120220401,0.012206163814014,0.000148990435054545,0.295471899643561,0.0212926346973926,0.0613288520073585,5.35416666666667,-0.0494009293273719,-0.0212765957446808,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"66",5702,0.0532322056431859,69,12,2,10,0.0173675348900957,0.0219015128431379,1.08145188553686,0.0279518788809773,0.000781307532976826,0.52509338178354,0.00739112427838311,0.0990732870079887,5.75,0.0171477653761808,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"67",5703,0.0378939122955508,85,13,2,11,0.0167936302187178,0.0172499216237795,1.73109273773464,0.0240745885104931,0.000579585811949567,0.63531546499409,-0.00158841286165789,0.0773762374527595,6.53846153846154,0.13200285542431,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"68",5704,0.126867228799973,83,5,2,3,0.0347648271177036,0.0421228081846907,2.19670056971833,0.054616153049149,0.00298292417388807,0.430498510653688,0.0372967377993684,0.216437719800577,16.6,0.0767115749819442,-0.25,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"69",5705,0.0527778761670476,84,13,2,11,0.0176058793932285,0.0143923525321139,0.648737566543861,0.0227399824234222,0.000517106800617551,0.430862021644216,0.0154843049926352,0.09007144734146,6.46153846153846,-0.0643156568299972,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"70",5706,0.0333978919976615,65,11,2,9,0.0184332196710064,0.0215000605743608,1.80808690391051,0.0283202435042632,0.00080203619214076,0.847965000493028,-0.0130473073493301,0.0798430913446531,5.90909090909091,0.164610295241029,-0.1,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"71",5801,0.0266464138389757,472,91,2,89,0.00524169521682805,0.00648906174417965,1.45772009240824,0.00834165997064696,6.95832910658938e-05,0.313050004441709,0.0129660914871147,0.0403267361908368,5.18681318681319,0.109324221546325,-0.0111111111111111,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"72",5802,0.0394989376210194,119,20,2,18,0.0130618542076882,0.0086648493815798,0.457851114038247,0.0156745542248693,0.000245691650148367,0.396834830730436,0.0137926686922338,0.065205206549805,5.95,-0.109525027467021,-0.0526315789473684,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"73",5803,0.0154035858844234,50,12,2,10,0.0110682695495641,0.0124116381635003,0.843373228440543,0.0166299534792935,0.000276555352723465,1.07961572091536,-0.0118695378216178,0.0426767095904647,4.16666666666667,-0.0494610857556179,-0.0909090909090908,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"74",5804,0.0302132584450279,368,67,2,65,0.00628975712459809,0.00567015841050833,0.719589964264965,0.0084682785196692,7.17117410866907e-05,0.280283523045916,0.0163252816727704,0.0441012352172853,5.49253731343284,-0.0624168518081307,-0.0151515151515151,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"75",6101,0.0378984508332615,1054,207,2,205,0.00379386274558752,0.0057885482788374,1.80877006142292,0.00692103212742062,4.79006857087883e-05,0.182620449523662,0.0265479581442917,0.0492489435222313,5.09178743961353,0.197656909934528,-0.00485436893203883,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"76",6102,0.0471606904301257,49,11,2,9,0.0193115230940447,0.0238315710054211,1.04567467791046,0.0306737461161537,0.000940878700798252,0.650409182656063,-0.00314425320036634,0.0974656340606176,4.45454545454545,0.013221617289871,-0.1,0,"Excluir","Excluir","Excluir","Incluir","Incluir"
"77",6103,0.0179185869049295,43,6,2,4,0.0119690438331342,0.0148650774081423,0.821319580734243,0.0190847723756284,0.000364228536629551,1.06508244633834,-0.0133804397911012,0.0492176136009601,7.16666666666667,-0.0289752031241769,-0.2,0,"Excluir","Excluir","Excluir","Incluir","Incluir"
"78",6104,0.0481542006331712,83,7,2,5,0.016815032630926,0.0222180585839916,1.69205673726463,0.027863730001936,0.000776387449620789,0.578635500860998,0.00245768342999613,0.0938507178363462,11.8571428571429,0.0637420679059532,-0.166666666666667,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"79",6105,0.0486669405201601,77,18,2,16,0.0178166982411403,0.0197072195544416,1.27123117591464,0.0265670705720977,0.000705809238782818,0.545895638561712,0.00509694478191992,0.0922369362584003,4.27777777777778,0.082748494346838,-0.0588235294117647,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"80",6106,0.0602683300297371,117,21,2,19,0.0146491011098045,0.0206088060355857,1.40068339052964,0.0252847592343227,0.000639319049537668,0.419536416918254,0.0188013248854478,0.101735335174026,5.57142857142857,0.0876494916783598,-0.05,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"81",6107,0.0413807537437092,91,11,2,9,0.0150518414724899,0.0118619929958399,0.677603440950287,0.0191641542872709,0.000367264809546322,0.463117574077157,0.00995154071258503,0.0728099667748335,8.27272727272727,-0.0443295268693356,-0.1,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"82",6108,0.0236466324266254,212,38,2,36,0.00592270871823859,0.00796891176654376,0.960279921172577,0.00992884853868055,9.8582033304059e-05,0.41988425072743,0.00736332082318927,0.0399299440300615,5.57894736842105,-0.00867449997380512,-0.027027027027027,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"83",6109,0.0359676356486161,73,6,2,4,0.0186526779241039,0.0091875350209103,0.423670358748712,0.0207926235357832,0.000432333193500805,0.578092586872144,0.00186773304993161,0.0700675382473005,12.1666666666667,-0.0516116096642945,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
