"","comuna","ModerateSevere","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"145",8108,0.147413009278039,461,83,1,82,0.00993493755842164,0.0216883008067492,2.58621221936507,0.0238555103943256,0.000569085376173776,0.161827714603744,0.108289972231345,0.186536046324733,5.55421686746988,0.348295275680689,-0.0121951219512195,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"146",8109,0.157583015882713,70,13,2,11,0.024769281550592,0.03374041492302,0.866135328224266,0.0418560976168353,0.00175193290771005,0.265613000121715,0.0889390157911035,0.226227015974323,5.38461538461539,-0.0305305391769218,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"147",8110,0.180338009301297,608,133,2,131,0.0076007227191784,0.0164491871602546,1.49780504544866,0.0181203406172986,0.00032834674408692,0.100479874916575,0.150620650688928,0.210055367913667,4.57142857142857,0.139385412725626,-0.00757575757575757,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"148",8111,0.166136625778835,177,37,2,35,0.0159846712180311,0.0208124036054201,0.787379771997051,0.0262424438226217,0.000688665857783457,0.157957004962628,0.123099017909735,0.209174233647935,4.78378378378378,-0.0561924888293507,-0.0277777777777777,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"149",8112,0.180325509003173,308,72,1,71,0.0106686731146654,0.0230144143088405,1.45817749658667,0.0253669835023116,0.000643483852006547,0.140673294879568,0.138723656059382,0.221927361946964,4.27777777777778,0.139782965060339,-0.0140845070422535,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"150",8201,0.314200369327229,91,24,2,22,0.02096206835955,0.0812513070053248,3.38224766715546,0.083911758413133,0.007041183199984,0.267064480518613,0.176585085529691,0.451815653124768,3.79166666666667,0.853342447936283,-0.0434782608695652,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"151",8202,0.163798930191446,110,19,2,17,0.0159623082081153,0.0264159945038909,0.718402182885053,0.0308642195585837,0.000952600048960462,0.188427479486649,0.113181610115369,0.214416250267523,5.78947368421053,-0.0587951486283956,-0.0555555555555556,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"152",8203,0.314183576683387,129,22,2,20,0.0150083060400007,0.053459187695723,2.07532027305873,0.0555259758966635,0.00308313399927686,0.176730994289428,0.223120976212858,0.405246177153915,5.86363636363636,0.221093887918618,-0.0476190476190477,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"153",8204,0.199417771533258,55,6,2,4,0.0277174282178095,0.00943273959448239,0.0401646697702088,0.0292785314397211,0.000857232403266737,0.146820071323674,0.151400979972115,0.2474345630944,9.16666666666667,-0.117530856762832,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"154",8205,0.214289455767392,129,28,2,26,0.0176527513046133,0.0379448028680332,1.49896308094733,0.0418500620467453,0.00175142769331643,0.19529687961956,0.14565535401073,0.282923557524054,4.60714285714286,0.138326398678468,-0.037037037037037,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
